title,price_from,wasPrice,location,sleeps,bedrooms,pets,customer_ratings,hot_tub,provider,date_scraped,url
The Groom’s Cottage,737,was £836,"Goodmanham Wold near Market Weighton, Vale of York & Yorkshire Wolds",4,2,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/North-York-Moors-Coast-Allotment-Fm/The-Grooms-Cottage-958392.html?_hsearch=220406624df580e91ef&_price=737&_display=1#duration=7&start=2022-08-19&changeover=5
Chalet 4,521,,"East Heslerton near Sherburn, North York Moors & Coast",2,1,Yes,,Hot Tub,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/North-York-Moors-Coast-Heslerton-Grange/Chalet-4-1094317.html?_hsearch=220406624df580ec70e&_price=521&_display=1#duration=7&start=2022-08-19&changeover=5
The Dairy,1177,,"Ancroft near Berwick-Upon-Tweed, Northumberland",2,1,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Northumbria-Northumberland-Ancroft-Northmoor/The-Dairy-1099169.html?_hsearch=220406624df580efb69&_price=1177&_display=1#duration=7&start=2022-08-19&changeover=5
Greystead Institute,1119,,"Bellingham, Northumberland",4,2,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Northumbria-Northumberland-Bent-Ho/Greystead-Institute-1056271.html?_hsearch=220406624df580f300c&_price=1119&_display=1#duration=7&start=2022-08-19&changeover=5
The Mill,769,was £1053,"Lostwithiel, Cornwall",2,1,Yes,4.9,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cornwall-Hillhead/The-Mill-1014268.html?_hsearch=220406624df581034ec&_price=769&_display=1#duration=7&start=2022-08-19&changeover=5
Mayfair,787,,"Billinge, Peak District & Derbyshire Dales",4,2,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Lake-District-Cumbria-The-Lake-District-Bispham-Hall/Mayfair-1083762.html?_hsearch=220406624df58106cb3&_price=787&_display=1#duration=7&start=2022-08-19&changeover=5
Dales Barn Top,550,was £700,"Hawes, Yorkshire Dales - North",4,2,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Lake-District-Cumbria-The-Lake-District-Bands/Dales-Barn-Top-1096118.html?_hsearch=220406624df5810a865&_price=550&_display=1#duration=7&start=2022-08-19&changeover=5
Coach House at Old Vicarage,1904,,"Madeley, Shropshire",4,2,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cotswolds-North-Wales-Snowdonia-Madeley/Coach-House-at-Old-Vicarage-1095095.html?_hsearch=220406624df5810e6ed&_price=1904&_display=1#duration=7&start=2022-08-17&changeover=3
Valley View,940,,"Brockmanton near Leominster, Herefordshire",2,1,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cotswolds-Herefordshire-Brockmanton/Valley-View-1095470.html?_hsearch=220406624df58112537&_price=940&_display=1#duration=7&start=2022-08-22&changeover=1
The Forge,800,,"Old Newton near Stowmarket, Suffolk",2,1,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Suffolk-Tiptree-Fm/The-Forge-1086600.html?_hsearch=220406624df58115c0c&_price=800&_display=1#duration=7&start=2022-08-19&changeover=5
